Cust_ID,Name,Avg_Mthly_Spend,No_Of_Visits,Apparel_Items,FnV_Items,Staples_Items
103,Ferdinand ,617,26,1,19,18
104,Fern ,9756,14,5,4,1
105,Flo ,3731,25,1,8,8
106,Florence ,664,29,2,12,16
107,Florentina ,8757,14,7,3,4
108,France ,9646,14,8,5,5
109,Francene ,9553,14,6,5,5
110,Francesco ,617,27,2,17,16
111,Frank ,8075,15,6,3,1
112,Frederick ,7179,14,7,4,2
113,Gavin ,9748,11,7,5,2
114,Genesis ,5810,24,1,9,9
115,Geneva ,8725,10,8,2,5
116,Genevieve ,5158,21,6,8,9
117,Georgette ,9578,15,9,3,4
118,Gerardo ,8945,15,5,5,2
119,Gilma ,3120,17,3,7,11
120,Gisele ,7000,7,1,3,4
121,Glayds ,7302,14,6,4,2
122,Glennis ,10000,2,1,1,0
123,Goldie ,583,23,0,16,17
124,Grayce ,2311,23,1,16,13
125,Gregoria ,8501,14,4,2,1
126,Gregorio ,549,27,1,10,17
127,Gricelda ,7851,13,8,4,4
128,Gwenn ,9770,15,5,2,2
129,Gwyn ,1807,23,0,13,14
130,Halley ,8639,14,6,3,2
131,Harland ,5284,21,1,9,8
132,Heather ,9099,12,6,3,5
133,Herlinda ,643,23,2,19,15
134,Hettie ,1414,26,1,14,18
135,Hilaria ,3094,25,3,10,11
136,Hilda ,5469,20,2,9,14
137,Holli ,4366,20,4,7,10
138,Honey ,9545,11,7,1,4
139,Hope ,4743,23,3,12,11
140,Hortensia ,4279,19,2,10,14
141,Hue ,868,22,0,10,15
142,Ila ,710,26,2,18,16
143,Ingrid ,1656,23,2,19,20
144,Irina ,9201,12,5,3,4
145,Isabelle ,7060,15,10,1,4
146,Isadora ,877,28,1,11,16
147,Jacinta ,6500,5,1,1,4
148,Jackie ,7976,12,8,5,3
149,Jacque ,9419,15,8,4,4
150,Janell ,9306,11,10,3,3
151,Janiece ,1761,26,2,14,18
152,Janita ,7057,14,6,4,3
153,Jarod ,8328,11,9,2,2
154,Jarred ,8214,15,10,3,3
155,Jeannette ,3526,12,8,7,11
156,Jennifer ,2151,26,2,18,17
157,Jeremiah ,8979,10,6,1,2
158,Jeri ,1371,27,2,19,13
159,Jeromy ,617,25,0,15,19
160,Jerrell ,3317,23,3,11,12
161,Jewel ,5949,24,1,10,10
162,Jewel ,1792,23,1,15,18
163,Jillian ,4000,3,0,1,8
164,Joel ,7151,14,6,4,5
165,Joel ,4720,9,6,11,11
166,Joi ,7568,10,10,5,3
167,Joselyn ,4301,20,3,7,14
168,Joselyn ,2025,23,1,16,19
169,Joye ,1473,25,2,13,19
170,Kacey ,5830,19,4,12,10
171,Kareen ,4362,21,3,8,13
172,Kate ,9214,12,9,4,1
173,Kate ,4599,21,1,10,13
174,Kathryne ,9644,11,6,3,4
175,Keith ,5890,18,1,10,9
176,Kellye ,9768,13,9,2,3
177,Kelsie ,9639,13,7,3,4
178,Keshia ,9110,10,9,5,2
179,Khadijah ,9205,15,6,5,1
180,Kia ,2151,22,1,12,19
181,Kimi ,7968,13,6,2,4
182,Kina ,4905,24,3,10,13
183,Kortney ,9917,10,8,3,5
184,Kurtis ,4290,20,3,7,14
185,Lady ,3434,23,3,7,13
186,Laine ,753,29,0,11,19
187,Lanette ,1599,26,1,13,15
188,Larisa ,7383,13,6,1,1
189,Lashawna ,8442,12,6,5,4
190,Latesha ,2436,27,2,18,19
191,Latonya ,2369,23,2,10,19
192,Lauren ,3816,18,1,12,11
193,Le ,5907,18,1,9,8
194,Leeanne ,4169,24,4,9,11
195,Leilani ,3121,20,3,12,13
196,Lemuel ,9483,15,8,2,3
197,Letty ,3579,17,1,10,8
198,Lilia ,5621,24,2,11,8
199,Liliana ,5042,19,2,8,14
200,Lindsay ,7464,11,7,3,3
201,Linwood ,863,25,1,13,15
202,Lizeth ,8788,13,4,5,2
203,Lola ,4144,23,4,10,8
204,Loralee ,592,27,2,16,16
205,Lorenza ,4421,25,6,10,10
206,Lori ,9002,10,7,3,2
207,Lorri ,9924,12,9,3,4
208,Lu ,5282,25,3,10,10
209,Lyndia ,1053,28,0,18,20
210,Macy ,803,22,2,18,13
211,Madeline ,3403,21,2,12,9
212,Malorie ,1608,27,1,16,20
213,Manual ,2127,22,0,16,20
214,Marcelene ,1199,24,0,18,18
215,Marcelina ,4670,18,3,12,12
216,Marjorie ,7479,12,7,3,5
217,Marla ,1273,27,0,17,18
218,Marlana ,3187,20,3,7,14
219,Marlen ,1042,27,2,13,18
220,Matha ,7696,12,5,3,5
221,Mathilda ,8184,13,5,4,4
222,Maureen ,7170,15,7,2,6
223,Mechelle ,4570,17,4,11,9
224,Mee ,5158,25,4,8,13
225,Melva ,936,23,0,18,20
226,Melynda ,1487,29,2,18,20
227,Mercedez ,8898,12,10,4,1
228,Michael ,7670,12,6,4,4
229,Michale ,4344,23,4,12,14
230,Michiko ,8574,11,10,1,7
231,Milo ,1231,22,1,16,13
232,Mindi ,8855,11,6,2,4
233,Mittie ,9131,14,8,1,9
234,Miyoko ,5585,21,3,9,12
235,Monica ,8524,14,6,4,5
236,Nakia ,7843,12,9,2,2
237,Nana ,7163,15,6,5,1
238,Natalia ,3422,20,1,8,13
239,Nettie ,1503,27,0,18,14
240,Nichol ,2196,27,2,16,20
241,Nickole ,2421,22,0,14,19
242,Nilsa ,2189,25,2,12,20
243,Norine ,5772,24,4,11,14
244,Nova ,1879,25,0,17,13
245,Ocie ,8992,15,10,5,1
246,Ollie ,1289,25,0,12,16
247,Orville ,9066,13,10,1,1
248,Page ,2283,22,2,17,16
249,Pamelia ,9554,14,7,2,2
250,Pauline ,600,29,0,13,20
251,Petra ,7667,11,8,2,2
252,Phil ,4465,22,3,10,13
253,Ping ,4134,19,2,9,12
254,Porsha ,9182,15,10,5,5
255,Porter ,8871,11,7,1,2
256,Rachele ,2000,2,0,2,2
257,Rasheeda ,8946,12,10,4,3
258,Rebekah ,2351,24,1,18,18
259,Refugia ,3840,20,1,7,8
260,Regina ,1872,25,0,15,17
261,Renae ,7604,15,5,4,6
262,Renata ,1556,29,0,14,18
263,Renda ,1446,23,0,15,14
264,Renita ,9257,10,7,5,1
265,Reyna ,3037,21,1,11,14
266,Richie ,2053,29,1,12,15
267,Rico ,3839,22,3,9,9
268,Roberta ,8374,15,6,4,4
269,Roberto ,7278,12,10,3,2
270,Rodrigo ,1681,25,2,13,15
271,Rolande ,8622,15,6,5,4
272,Roni ,9010,14,10,2,2
273,Rosalba ,7251,11,4,4,1
274,Roseann ,9029,10,5,5,3
275,Roselle ,4282,21,1,10,12
276,Rowena ,8423,14,5,5,2
277,Rozella ,2500,5,0,11,2
278,Sade ,9212,10,7,3,4
279,Sally ,2238,29,2,15,19
280,Samantha ,2260,24,2,14,15
281,Samella ,9851,15,8,5,5
282,Samira ,3049,18,4,8,13
283,Saran ,8274,15,6,3,3
284,Sergio ,9778,13,6,3,3
285,Seth ,8662,11,9,2,5
286,Shanika ,2365,28,1,11,19
287,Sharice ,1455,29,1,10,17
288,Sharika ,7991,10,10,2,3
289,Sharon ,9674,15,9,4,8
290,Sharyl ,1616,28,1,19,14
291,Shaunna ,7810,10,6,2,5
292,Shawanna ,8345,15,7,4,9
293,Sheba ,9114,15,10,3,1
294,Shelli ,7327,11,4,2,3
295,Shellie ,2389,22,2,18,13
296,Shemika ,7179,10,5,4,5
297,Shena ,7869,12,7,1,2
298,Shera ,3847,17,1,8,12
299,Sherita ,3748,20,7,11,13
300,Shery ,9601,13,8,3,2
301,Shirley ,3612,20,3,9,13
302,Silas ,9768,13,5,3,5
303,Simona ,9607,15,6,2,4
304,Simone ,4400,19,3,10,12
305,Sona ,7112,14,5,3,3
306,Song ,8528,12,3,3,5
307,Suzanna ,7969,11,9,4,4
308,Svetlana ,5996,19,4,11,11
309,Tamela ,843,26,1,18,17
310,Tammara ,2095,26,0,19,19
311,Tandy ,1015,27,0,16,14
312,Temika ,9579,15,9,1,1
313,Temika ,5442,17,4,9,12
314,Tenesha ,8876,12,6,2,5
315,Tenesha ,5725,22,3,8,13
316,Tess ,2296,26,1,18,13
317,Thi ,3151,19,1,8,14
318,Thora ,8343,11,7,1,1
319,Thora ,9476,14,10,4,3
320,Tiffaney ,3134,23,3,10,13
321,Tracey ,5784,23,3,11,13
322,Tuyet ,804,24,2,10,17
323,Valencia ,4520,25,3,12,9
324,Velma ,2322,24,1,17,14
325,Venessa ,3950,22,5,8,10
326,Vera ,7426,11,5,3,1
327,Verlie ,7332,10,10,5,4
328,Vida ,8061,10,6,3,4
329,Vincent ,9766,11,6,1,5
330,Vincenzo ,9560,14,5,2,1
331,Violet ,8894,10,9,5,4
332,Wallace ,5865,18,3,8,13
333,Yessenia ,5078,23,4,9,8
334,Yoshie ,7547,13,6,2,5
335,Yung ,9127,11,6,3,4
336,Yung ,5073,25,1,8,8
337,Zandra ,1575,29,0,11,18
338,Eric,4191,17,3,8,5
339,Lawrence,4412,17,4,6,7
340,Tina,4186,19,4,8,8
341,Teresa,4209,18,4,8,10
342,Fred,4016,17,3,6,8
343,Norma,4413,15,4,6,10
344,Lori,4447,15,4,6,6
345,Mary,4258,19,3,6,5
346,Lillian,4636,18,5,6,8
347,Stephen,4569,16,5,7,10
348,John,4930,17,3,8,10
349,Heather,4903,20,3,7,5
350,Barbara,4462,15,5,7,5
351,Larry,4147,19,4,8,8
352,Julie,4916,18,3,6,10
353,Helen,4608,15,3,8,7
354,Amanda,4918,19,4,8,6
355,Elizabeth,4690,20,4,7,6
356,Frances,4512,17,5,7,8
357,Clarence,4508,16,5,8,5
358,Denise,4869,15,5,6,5
359,Virginia,4829,20,4,6,7
360,Bonnie,4032,15,4,6,10
361,Cheryl,4240,17,4,8,9
362,Wanda,4799,17,3,8,10
363,Melissa,4311,19,5,6,7
364,Carol,4304,15,4,6,8
365,Martha,4203,20,4,8,5
366,Joshua,4769,15,4,7,10
367,Brenda,4204,18,3,7,7
368,Joe,4015,19,4,6,5
369,Charles,4057,18,3,6,9
370,Bobby,4882,18,3,8,5
371,Richard,4227,19,4,7,6
372,Russell,4647,19,3,7,7
373,Robert,4517,19,5,8,7
374,Christopher,4345,15,3,8,10
375,Christina,4062,17,5,8,9
376,Julia,4983,19,5,6,7
377,Andrew,4895,20,5,8,6
378,Keith,4287,17,3,8,6
379,Sara,4233,16,4,7,7
380,Donna,4632,15,4,7,10
381,Louise,4221,20,3,7,9
382,Joseph,4292,15,4,6,10
383,Karen,4448,17,3,8,8
384,Douglas,4078,19,3,6,8
385,Annie,4889,15,3,7,9
386,Victor,4774,20,4,8,5
387,Shawn,4561,19,4,6,5
388,Patricia,4419,16,4,6,10
389,Paula,4232,15,4,6,8
390,Judith,4407,20,5,7,10
391,Rebecca,4503,18,5,7,7
392,Rose,4195,20,3,8,7
393,Jack,4079,15,4,8,9
394,Samuel,4753,16,4,8,6
395,Jennifer,4207,18,3,7,6
396,Kimberly,4830,16,5,8,8
397,Maria,4766,15,3,8,5
398,Paul,4516,18,5,8,9
399,Brandon,4949,20,4,7,5
400,Margaret,4079,19,4,7,8
401,Mildred,4184,17,3,8,6
402,Albert,4678,17,4,6,7
403,Jessica,4738,17,4,8,5
404,Beverly,4770,16,5,7,5
405,Dennis,4501,16,3,7,10
406,Emily,4214,20,5,8,6
407,Kelly,4890,15,5,6,10
408,Judy,4614,17,3,6,8
409,Amy,4391,17,5,8,9
410,Linda,4204,17,3,7,8
411,Katherine,4522,17,5,8,10
412,Gary,4199,20,5,8,9
413,Jason,4661,18,3,6,7
414,Rachel,4710,18,5,8,6
415,Ashley,4112,16,3,6,6
416,Kevin,4159,18,4,8,6
417,Tammy,4441,19,4,6,9
418,Howard,4117,18,4,8,10
419,Diana,4653,18,3,7,7
420,Anne,4704,16,4,6,10
421,Chris,4250,19,3,7,5
422,William,4278,20,3,6,10
423,Angela,4158,15,5,7,6
424,Jacqueline,4565,16,4,7,8
425,Anna,4252,17,4,7,6
426,Donald,4731,17,5,8,7
427,Gloria,4091,20,5,7,5
428,Edward,4375,18,4,7,7
429,Henry,4872,20,3,8,7
430,Lisa,4716,19,4,8,5
431,Craig,4120,16,4,8,9
432,Walter,4602,16,3,7,6
433,Todd,4133,19,3,8,6
434,Pamela,4194,16,3,8,10
435,Theresa,4073,17,3,7,5
436,Betty,4512,19,5,8,9
437,Andrea,4647,15,3,7,9
438,Morris,4507,18,5,6,7
439,Coleman,4930,17,5,8,8
440,Butler,4911,15,3,7,8
441,Nelson,4278,19,4,8,8
442,Cox,4940,19,4,8,9
443,Howard,4083,19,5,8,6
444,Patterson,4950,16,4,7,9
445,Barnes,4797,15,3,7,8
446,Washington,4733,15,4,8,7
447,Morgan,4604,17,4,8,8
448,Lewis,4259,20,3,8,5
449,Powell,4732,15,3,8,7
450,Murphy,4088,19,3,8,7
451,Thomas,4075,19,5,8,10
452,Cooper,4700,17,3,7,9
453,Henderson,4239,16,4,7,7
454,King,4881,20,3,8,6
455,Mitchell,4571,19,3,6,5
456,Lee,4012,15,3,8,6
457,Bailey,4875,16,4,7,9
458,Evans,4360,17,5,6,9
459,Carter,4219,17,4,6,5
460,Wright,4698,19,5,6,7
461,Watson,4045,20,5,8,8
462,Wilson,4669,18,5,8,5
463,Bennett,4482,16,5,6,8
464,Foster,4348,20,3,6,9
465,Williams,4044,19,3,7,9
466,Roberts,4901,19,4,8,8
467,Long,4497,20,5,7,9
468,Richardson,4498,18,4,6,8
469,Baker,4650,18,3,8,7
470,Ward,4027,20,4,7,7
471,Adams,4256,19,5,6,6
472,Garcia,4447,16,3,7,9
473,Turner,4116,15,4,7,8
474,Stewart,4518,15,4,6,7
475,Jenkins,4959,15,5,8,5
476,Kelly,4165,20,4,8,7
477,Scott,4964,19,5,7,7
478,Brown,4637,20,5,7,9
479,Perez,4978,19,4,6,10
480,Allen,4033,17,4,7,10
481,Griffin,4150,15,4,8,6
482,Peterson,4945,17,4,6,5
483,Russell,4770,18,4,8,10
484,Hughes,4732,16,5,8,8
485,Jackson,4472,20,3,6,7
486,Campbell,4476,18,3,8,8
487,Harris,4376,18,4,7,9
488,Jones,4855,18,4,6,5
489,Hill,4247,15,3,7,7
490,Torres,4236,17,5,7,9
491,Green,4647,20,5,7,8
492,Clark,4889,18,4,8,7
493,Taylor,4463,16,3,8,9
494,Gonzales,4877,16,3,7,5
495,Parker,4543,20,3,6,10
496,Rogers,4670,16,3,8,8
497,Rodriguez,4347,20,3,8,8
498,Davis,4173,17,3,7,7
499,Anderson,4506,18,3,8,5
500,White,4348,15,3,6,9
501,Miller,4279,16,5,7,7
502,Rivera,4217,19,4,8,6
503,James,5000,18,4,8,9
504,Martin,4228,17,3,8,6
505,Wood,4781,20,4,8,6
506,Gonzalez,4666,19,4,6,6
507,Cook,4353,20,5,8,6
508,Hernandez,4449,16,5,7,5
509,Price,4978,19,4,6,7
510,Gray,4462,15,3,7,9
511,Thompson,4648,20,5,7,6
512,Reed,4337,17,3,7,5
513,Brooks,4028,15,5,8,10
514,Lopez,4342,19,3,8,7
515,Simmons,4792,20,5,6,5
516,Moore,4344,19,3,7,7
517,Robinson,4374,16,5,7,9
518,Walker,4787,17,5,8,10
519,Edwards,4635,17,3,7,10
520,Collins,4830,15,3,7,7
521,Hall,4597,19,5,7,9
522,Bryant,4472,17,4,8,8
523,Johnson,4730,16,4,7,10
524,Ross,4927,15,3,7,5
525,Smith,4035,17,3,6,7
526,Diaz,4731,15,4,6,9
527,Sanchez,4619,18,5,8,7
528,Perry,4820,19,5,6,5
529,Flores,4710,15,5,6,5
530,Ramirez,4949,18,5,6,7
531,Alexander,4782,19,4,8,7
532,Phillips,4708,16,4,8,5
533,Bell,4914,18,5,6,5
534,Sanders,4243,19,3,7,6
535,Martinez,4001,19,4,8,8
536,Young,4068,15,4,7,7
537,Darren,4755,15,4,8,9
538,Douglas,4122,16,4,6,6
539,Whitney,4788,15,3,6,9
540,Anne,4160,18,4,6,5
541,Crystal,4166,20,3,8,5
542,Noah,4443,20,4,8,9
543,Allison,4758,20,4,7,7
544,Inez,4823,19,3,7,10
545,Jan,4776,19,5,8,10
546,Alma,4413,16,5,8,9
547,Sonia,4812,18,3,8,6
548,Carla,4466,15,3,8,10
549,Gregory,4742,17,5,8,7
550,Jimmie,4993,17,4,6,5
551,Clay,4186,18,4,7,8
552,Leland,4129,16,5,8,5
553,Hugh,4861,20,3,6,5
554,Theodore,4063,20,3,7,5
555,Delbert,4025,15,5,8,8
556,Darla,4342,20,3,8,10
557,Elizabeth,4030,20,4,8,6
558,Ethel,4726,16,5,6,5
559,Lillian,4816,20,5,8,10
560,Dolores,4149,15,4,6,8
561,Lela,4800,18,4,7,7
562,Constance,4672,19,4,8,7
563,Earnest,4348,15,4,8,7
564,Megan,4374,19,5,6,8
565,Candice,4803,20,4,8,5
566,Amos,4412,15,5,8,5
567,Joseph,4216,17,3,8,10
568,Joshua,4891,18,3,6,6
569,Genevieve,4818,17,5,8,6
570,Chester,4419,15,3,8,9
571,Kyle,4498,15,3,6,8
572,Jake,4778,19,3,7,6
573,Marlene,4287,17,4,7,10
574,Reginald,4612,17,4,8,7
575,Karl,4635,18,5,6,6
576,Phil,4475,19,4,6,7
577,Cheryl,4484,17,3,7,9
578,Lena,4621,20,5,8,5
579,Miguel,4995,17,5,6,9
580,Gerardo,4375,20,4,7,5
581,George,4426,20,4,7,9
582,Dan,4663,16,4,8,8
583,Cory,4849,18,4,7,8
584,Alonzo,4664,19,3,7,8
585,Krista,4483,19,5,6,9
586,Gary,4720,19,5,7,6
587,Miranda,4133,15,5,7,8
588,Jeff,4449,20,4,6,9
589,Charles,4526,17,5,8,6
590,Guy,4372,19,4,8,6
591,Jermaine,4705,15,5,6,5
592,Travis,4667,15,4,8,9
593,Juan,4132,18,5,6,8
594,Rodney,4460,18,5,7,7
595,Janie,4342,20,3,8,5
596,Kristy,4165,17,4,6,10
597,Lorena,4695,19,4,8,9
598,Ross,4065,20,3,6,9
599,Arthur,4297,20,5,7,8
600,Danielle,4707,19,5,7,5
601,Estelle,4608,20,4,8,10
602,Sandra,4284,20,5,8,10
603,Daisy,4239,18,4,7,9
604,Eloise,4510,19,4,7,6
605,Nicole,4718,16,5,8,10
606,Lynda,4441,15,5,6,8
607,Betsy,4372,17,4,7,7
608,Lynne,4051,19,3,6,9
609,Levi,4910,18,5,8,6
610,Tyler,4274,19,4,6,9
611,Caroline,4280,19,3,6,8
612,Seth,4251,19,5,7,7
613,Sheldon,4383,19,3,6,10
614,Helen,4110,17,5,7,10
615,Holly,4704,20,5,8,6
616,Leah,4426,19,4,6,6
617,Shaun,4549,20,4,7,6
618,Danny,4739,18,4,7,6
619,Tim,4468,17,3,6,6
620,Justin,4429,16,5,8,8
621,Salvatore,4527,19,5,8,9
622,Bryant,4327,20,4,6,5
623,Emmett,4783,16,4,7,8
624,Donna,4294,18,4,7,5
625,Fredrick,4211,19,3,8,10
626,Sabrina,4963,19,5,6,10
627,Cary,4413,17,5,8,7
628,Bernard,4867,16,5,8,6
629,Tom,4872,15,4,8,9
630,Lois,4807,15,3,8,8
631,Kathryn,4736,17,5,6,8
632,Stewart,4942,16,5,6,6
633,Valerie,4221,18,5,6,6
634,Chad,4301,20,5,6,7
635,Janet,4409,18,3,6,7
636,Anita,4748,17,3,7,9
637,Carr,4512,20,3,7,8
638,Frazier,4647,18,4,6,8
639,Kim,4527,19,3,7,10
640,Mcguire,4307,20,5,6,6
641,Wade,4316,17,3,8,10
642,Zimmerman,4406,18,3,8,7
643,Reeves,4567,16,5,7,8
644,Valdez,4210,19,4,8,9
645,Harmon,4709,18,5,7,7
646,George,4069,15,5,6,6
647,Garrett,4322,19,5,6,8
648,Benson,4397,16,4,8,5
649,Rhodes,4358,17,4,6,6
650,Clayton,4108,16,3,8,10
651,Boyd,4759,15,3,8,9
652,Murphy,4867,18,5,8,7
653,Mckinney,4753,17,5,7,10
654,Barber,4974,19,3,6,9
655,Vasquez,4782,16,3,7,9
656,Cannon,4117,17,5,6,6
657,Grant,4370,20,3,6,8
658,Wheeler,4160,15,3,8,6
659,Harrington,4647,16,5,8,10
660,Lowe,4861,19,4,8,8
661,Bradley,4462,15,3,6,9
662,Patrick,4379,20,4,6,7
663,Cohen,4811,19,5,8,9
664,Hunter,4467,18,4,7,5
665,Massey,4899,16,5,6,7
666,Pierce,4759,20,3,6,10
667,Peterson,4130,15,3,6,5
668,Cook,4810,18,4,7,5
669,Larson,4687,17,4,8,8
670,Garner,4752,15,3,8,7
671,Horton,4634,17,4,8,7
672,Evans,4180,16,3,7,9
673,Hicks,4771,19,5,7,10
674,Barton,4165,15,4,6,6
675,Mann,4976,16,4,6,7
676,Lambert,4581,19,5,6,8
677,Lamb,4649,16,3,6,9
678,Paul,4579,19,3,6,7
679,Ballard,4420,15,5,6,8
680,Dixon,4582,16,3,8,9
681,Manning,4397,17,5,7,6
682,Mccormick,4831,19,5,8,8
683,Ferguson,4037,18,3,6,9
684,Arnold,4574,20,3,8,5
685,Barnes,4079,16,3,7,9
686,Rodriguez,4281,15,3,8,7
687,Jennings,4533,16,4,7,5
688,Wise,4195,20,5,6,5
689,Watkins,4102,15,5,8,6
690,Kelly,4250,18,3,8,6
691,Santiago,4269,16,4,8,6
692,Erickson,4896,16,4,6,9
693,Sparks,4915,15,4,6,10
694,Lee,4877,15,4,7,7
695,Miller,4156,15,5,7,8
696,Fuller,4782,20,4,7,6
697,Fowler,4970,20,3,8,8
698,Butler,4590,15,5,6,10
699,Gardner,4834,19,5,8,7
700,Floyd,4812,15,5,7,8
701,Wilson,4931,17,3,6,9
702,Park,4685,20,3,8,9
703,Mendez,4813,15,3,8,9
704,Goodman,4613,16,3,8,8
705,Glover,4168,20,4,6,6
706,Adkins,4588,19,5,7,10
707,Willis,4885,18,4,8,7
708,Young,4066,20,3,6,6
709,Alvarez,4421,19,4,7,10
710,Dean,4267,16,5,6,8
711,Flowers,4749,18,3,7,8
712,Perry,4443,17,4,7,9
713,Newton,4110,16,4,8,10
714,Maldonado,4634,16,3,8,9
715,Alexander,4930,15,5,6,9
716,Spencer,4258,18,3,8,10
717,Rice,4283,20,5,6,10
718,Carpenter,4925,15,5,8,5
719,Davis,4725,16,5,8,7
720,Harvey,4890,16,3,6,5
721,Ford,4709,17,5,7,9
722,Reynolds,4486,19,3,6,9
723,Jefferson,4188,20,3,7,10
724,Newman,4829,19,3,6,9
725,Hart,4454,15,5,7,8
726,Stephens,4923,20,4,7,9
727,Obrien,4429,20,3,6,10
728,Logan,4509,17,3,6,8
729,Morton,4232,15,3,8,5
730,Vaughn,4191,18,5,7,8
731,Francis,4816,16,5,7,7
732,Dunn,4748,16,5,8,9
733,Lopez,4443,20,3,7,7
734,Wolfe,4566,20,3,8,5
735,Mack,4356,15,3,8,10
736,Watson,4643,20,4,6,8
737,Janeen,4863,18,4,7,5
738,Wyatt,4806,17,3,7,9
739,Evelyne,4717,20,3,6,9
740,Britteny,4156,17,4,6,6
741,Chandra,4271,17,5,7,5
742,Sari,4691,18,5,7,6
743,Les,4472,18,5,6,7
744,Deana,4677,17,5,7,5
745,Austin,4764,19,4,6,5
746,Linh,4157,16,5,7,7
747,Kevin,4175,18,5,7,5
748,Ashanti,4850,16,5,7,10
749,Marianna,4171,19,3,6,10
750,Genaro,4827,16,3,7,6
751,Layne,4910,16,4,6,7
752,Dotty,4023,19,3,6,9
753,Avelina,4446,18,4,6,9
754,Venice,4526,19,5,6,7
755,Hoyt,4014,15,4,8,9
756,Cedrick,4210,19,5,8,10
757,Kacy,4916,17,3,8,10
758,Chia,4294,19,5,7,5
759,Annamae,4991,18,3,7,9
760,Crystle,4354,19,4,6,9
761,Autumn,4247,17,3,7,10
762,Nickie,4881,19,4,7,5
763,Margaretta,4279,19,3,8,10
764,Ute,4933,15,5,7,9
765,Corie,4493,20,4,6,7
766,Lashawn,4452,20,4,6,6
